ID Loja,Data,count
Shopping Center Interlagos,2019-09-05,21
Shopping Center Leste Aricanduva,2019-08-11,21
Palladium Shopping Curitiba,2019-11-21,21
Shopping Ibirapuera,2019-06-04,21
Shopping Ibirapuera,2019-04-13,21
Palladium Shopping Curitiba,2019-02-12,21
Parque Dom Pedro Shopping,2019-04-12,21
Shopping Ibirapuera,2019-04-09,21
Shopping Ibirapuera,2019-04-01,21
Shopping Eldorado,2019-01-10,21
Shopping Center Leste Aricanduva,2019-07-08,21
Shopping Eldorado,2019-01-02,21
Shopping Iguatemi Fortaleza,2019-02-16,21
Palladium Shopping Curitiba,2019-11-26,21
Shopping União de Osasco,2019-11-06,21
Shopping União de Osasco,2019-10-23,21
Iguatemi Esplanada,2019-02-02,21
Rio Mar Shopping Fortaleza,2019-03-09,21
Iguatemi Campinas,2019-05-12,21
Iguatemi Campinas,2019-05-05,21
Iguatemi Esplanada,2019-04-30,21
Rio Mar Shopping Fortaleza,2019-03-11,21
Center Shopping Uberlândia,2019-09-08,21
Shopping Iguatemi Fortaleza,2019-03-12,21
Shopping União de Osasco,2019-10-16,21
Shopping União de Osasco,2019-10-01,21
Shopping Iguatemi Fortaleza,2019-08-05,21
Shopping Iguatemi Fortaleza,2019-08-16,21
Shopping Iguatemi Fortaleza,2019-10-02,21
Shopping Center Leste Aricanduva,2019-06-26,21
Novo Shopping Ribeirão Preto,2019-11-09,21
Palladium Shopping Curitiba,2019-06-07,21
Palladium Shopping Curitiba,2019-08-18,21
Shopping Ibirapuera,2019-02-14,21
Center Shopping Uberlândia,2019-01-13,21
Shopping Center Interlagos,2019-03-27,21
Shopping Midway Mall,2019-09-10,21
Shopping Morumbi,2019-01-08,21
Shopping Morumbi,2019-07-01,21
Shopping Midway Mall,2019-07-14,21
Novo Shopping Ribeirão Preto,2019-09-23,21
Shopping Morumbi,2019-02-10,21
Shopping Center Leste Aricanduva,2019-04-08,21
Shopping Center Leste Aricanduva,2019-06-02,21
Shopping Center Leste Aricanduva,2019-05-23,21
Shopping Center Leste Aricanduva,2019-04-18,21
Norte Shopping,2019-07-11,21
Shopping Morumbi,2019-10-18,21
Ribeirão Shopping,2019-07-11,21
Norte Shopping,2019-08-08,21
Ribeirão Shopping,2019-07-21,21
Shopping Center Interlagos,2019-04-01,21
Shopping Barra,2019-04-28,21
Shopping Barra,2019-04-27,21
Novo Shopping Ribeirão Preto,2019-01-29,21
Shopping Recife,2019-01-25,21
Shopping Morumbi,2019-11-22,21
Shopping Morumbi,2019-04-26,21
Shopping Morumbi,2019-06-03,21
Shopping Barra,2019-08-16,21
Shopping Barra,2019-11-12,21
Bourbon Shopping SP,2019-06-18,21
Shopping Center Interlagos,2019-10-16,21
Center Shopping Uberlândia,2019-07-12,21
Shopping Center Interlagos,2019-01-27,21
Novo Shopping Ribeirão Preto,2019-07-16,21
Shopping Morumbi,2019-03-26,21
Shopping Morumbi,2019-03-21,21
Novo Shopping Ribeirão Preto,2019-10-06,21
Novo Shopping Ribeirão Preto,2019-09-26,21
Passei das Águas Shopping,2019-09-16,21
Ribeirão Shopping,2019-01-24,21
Shopping Recife,2019-03-21,21
Shopping Recife,2019-07-04,21
Center Shopping Uberlândia,2019-03-08,21
Salvador Shopping,2019-07-09,21
Novo Shopping Ribeirão Preto,2019-01-04,21
Novo Shopping Ribeirão Preto,2019-01-26,21
Norte Shopping,2019-05-28,21
Norte Shopping,2019-05-31,21
Norte Shopping,2019-07-05,21
Salvador Shopping,2019-02-22,21
Salvador Shopping,2019-02-18,21
Bourbon Shopping SP,2019-05-01,21
Shopping Barra,2019-07-21,21
Shopping Barra,2019-06-20,21
Shopping SP Market,2019-03-19,21
Shopping SP Market,2019-03-16,21
Shopping SP Market,2019-01-06,21
Norte Shopping,2019-11-27,21
Rio Mar Recife,2019-02-13,21
Shopping Recife,2019-07-07,21
Rio Mar Shopping Fortaleza,2019-01-09,21
Norte Shopping,2019-05-13,21
Shopping SP Market,2019-05-26,21
Shopping SP Market,2019-08-01,21
Shopping SP Market,2019-08-31,21
Iguatemi Esplanada,2019-08-11,21
Rio Mar Recife,2019-09-10,21
Salvador Shopping,2019-10-07,21
Rio Mar Recife,2019-11-18,21
Rio Mar Recife,2019-10-25,21
Shopping SP Market,2019-11-23,21
Norte Shopping,2019-03-26,21
Iguatemi Esplanada,2019-10-27,21
Iguatemi Esplanada,2019-10-24,21
Shopping Vila Velha,2019-09-27,21
Iguatemi Esplanada,2019-10-14,21
Iguatemi Campinas,2019-10-21,21
Iguatemi Campinas,2019-07-25,21
Iguatemi Campinas,2019-06-02,20
Iguatemi Campinas,2019-05-07,20
Rio Mar Shopping Fortaleza,2019-04-14,20
Rio Mar Shopping Fortaleza,2019-02-17,20
Salvador Shopping,2019-01-16,20
Shopping Vila Velha,2019-09-30,20
Bourbon Shopping SP,2019-01-25,20
Bourbon Shopping SP,2019-01-17,20
Iguatemi Campinas,2019-06-04,20
Norte Shopping,2019-01-06,20
Shopping União de Osasco,2019-04-18,20
Salvador Shopping,2019-03-17,20
Rio Mar Recife,2019-08-14,20
Shopping União de Osasco,2019-09-18,20
Bourbon Shopping SP,2019-03-16,20
Shopping SP Market,2019-10-22,20
Iguatemi Esplanada,2019-06-28,20
Iguatemi Esplanada,2019-05-08,20
Shopping SP Market,2019-03-02,20
Bourbon Shopping SP,2019-05-05,20
Norte Shopping,2019-07-31,20
Norte Shopping,2019-05-20,20
Shopping SP Market,2019-09-17,20
Shopping SP Market,2019-08-13,20
Norte Shopping,2019-05-09,20
Norte Shopping,2019-01-15,20
Norte Shopping,2019-11-08,20
Shopping Recife,2019-10-29,20
Shopping Barra,2019-01-10,20
Salvador Shopping,2019-08-29,20
Rio Mar Recife,2019-02-27,20
Rio Mar Recife,2019-01-26,20
Rio Mar Shopping Fortaleza,2019-05-25,20
Rio Mar Recife,2019-09-23,20
Salvador Shopping,2019-06-03,20
Shopping Recife,2019-09-02,20
Shopping Recife,2019-02-13,20
Shopping SP Market,2019-05-04,20
Bourbon Shopping SP,2019-06-23,20
Novo Shopping Ribeirão Preto,2019-06-05,20
Novo Shopping Ribeirão Preto,2019-05-10,20
Novo Shopping Ribeirão Preto,2019-03-29,20
Novo Shopping Ribeirão Preto,2019-03-17,20
Shopping Barra,2019-06-06,20
Shopping Barra,2019-01-15,20
Ribeirão Shopping,2019-06-11,20
Ribeirão Shopping,2019-05-18,20
Rio Mar Recife,2019-05-02,20
Center Shopping Uberlândia,2019-05-19,20
Shopping Morumbi,2019-10-02,20
Shopping Morumbi,2019-07-03,20
Novo Shopping Ribeirão Preto,2019-01-16,20
Norte Shopping,2019-11-09,20
Shopping Iguatemi Fortaleza,2019-10-04,20
Novo Shopping Ribeirão Preto,2019-09-16,20
Shopping Center Interlagos,2019-06-04,20
Shopping Center Interlagos,2019-05-04,20
Ribeirão Shopping,2019-10-26,20
Ribeirão Shopping,2019-08-11,20
Center Shopping Uberlândia,2019-01-29,20
Shopping Barra,2019-07-05,20
Shopping Barra,2019-06-19,20
Bourbon Shopping SP,2019-06-17,20
Shopping Morumbi,2019-06-29,20
Shopping Morumbi,2019-06-08,20
Shopping Morumbi,2019-03-29,20
Shopping Morumbi,2019-03-14,20
Shopping Iguatemi Fortaleza,2019-07-31,20
Shopping Iguatemi Fortaleza,2019-07-01,20
Shopping Iguatemi Fortaleza,2019-06-30,20
Shopping Iguatemi Fortaleza,2019-05-02,20
Shopping Center Leste Aricanduva,2019-04-11,20
Shopping Center Leste Aricanduva,2019-03-17,20
Shopping Center Leste Aricanduva,2019-01-17,20
Passei das Águas Shopping,2019-07-07,20
Passei das Águas Shopping,2019-07-06,20
Shopping Center Interlagos,2019-01-18,20
Shopping Barra,2019-11-08,20
Shopping Barra,2019-10-10,20
Shopping Iguatemi Fortaleza,2019-03-23,20
Palladium Shopping Curitiba,2019-07-20,20
Palladium Shopping Curitiba,2019-06-29,20
Shopping Ibirapuera,2019-07-26,20
Palladium Shopping Curitiba,2019-01-17,20
Bourbon Shopping SP,2019-09-16,20
Bourbon Shopping SP,2019-09-08,20
Shopping Ibirapuera,2019-03-02,20
Shopping Ibirapuera,2019-02-12,20
Shopping Ibirapuera,2019-01-12,20
Shopping Center Leste Aricanduva,2019-08-15,20
Shopping Center Leste Aricanduva,2019-07-20,20
Parque Dom Pedro Shopping,2019-09-17,20
Parque Dom Pedro Shopping,2019-09-13,20
Parque Dom Pedro Shopping,2019-08-29,20
Ribeirão Shopping,2019-01-05,20
Passei das Águas Shopping,2019-10-21,20
Center Shopping Uberlândia,2019-07-18,20
Shopping Center Interlagos,2019-08-13,20
Shopping Center Interlagos,2019-08-04,20
Shopping Eldorado,2019-08-11,20
Parque Dom Pedro Shopping,2019-07-19,20
Shopping Eldorado,2019-07-13,20
Shopping Eldorado,2019-05-14,20
Parque Dom Pedro Shopping,2019-06-08,20
Parque Dom Pedro Shopping,2019-05-31,20
Parque Dom Pedro Shopping,2019-02-22,20
Passei das Águas Shopping,2019-05-27,20
Passei das Águas Shopping,2019-02-08,20
Shopping Center Leste Aricanduva,2019-11-07,20
Shopping Center Leste Aricanduva,2019-09-04,20
Rio Mar Shopping Fortaleza,2019-11-11,20
Rio Mar Shopping Fortaleza,2019-10-05,20
Rio Mar Shopping Fortaleza,2019-07-19,20
Rio Mar Shopping Fortaleza,2019-06-22,20
Shopping União de Osasco,2019-11-25,20
Iguatemi Esplanada,2019-01-17,20
Iguatemi Campinas,2019-09-27,20
Iguatemi Campinas,2019-09-08,20
Bourbon Shopping SP,2019-03-14,20
Shopping Vila Velha,2019-05-11,20
Shopping Vila Velha,2019-05-05,20
Shopping Vila Velha,2019-05-03,20
Shopping Vila Velha,2019-03-26,20
Shopping Vila Velha,2019-03-19,20
Shopping Vila Velha,2019-03-04,20
Iguatemi Campinas,2019-06-29,20
Iguatemi Campinas,2019-07-26,20
Bourbon Shopping SP,2019-02-08,20
Shopping Vila Velha,2019-08-21,19
Iguatemi Campinas,2019-08-28,19
Iguatemi Campinas,2019-08-11,19
Iguatemi Campinas,2019-07-07,19
Iguatemi Campinas,2019-06-23,19
Shopping Vila Velha,2019-05-04,19
Iguatemi Campinas,2019-02-27,19
Iguatemi Esplanada,2019-01-04,19
Iguatemi Esplanada,2019-01-20,19
Iguatemi Esplanada,2019-03-18,19
Rio Mar Shopping Fortaleza,2019-06-21,19
Rio Mar Shopping Fortaleza,2019-07-01,19
Rio Mar Shopping Fortaleza,2019-08-30,19
Rio Mar Shopping Fortaleza,2019-09-07,19
Passei das Águas Shopping,2019-03-03,19
Passei das Águas Shopping,2019-03-12,19
Passei das Águas Shopping,2019-03-29,19
Passei das Águas Shopping,2019-05-18,19
Parque Dom Pedro Shopping,2019-01-02,19
Parque Dom Pedro Shopping,2019-01-17,19
Parque Dom Pedro Shopping,2019-04-04,19
Parque Dom Pedro Shopping,2019-04-16,19
Shopping Eldorado,2019-01-21,19
Shopping Eldorado,2019-04-23,19
Shopping Eldorado,2019-06-12,19
Shopping Eldorado,2019-06-20,19
Shopping Eldorado,2019-07-23,19
Parque Dom Pedro Shopping,2019-06-25,19
Palladium Shopping Curitiba,2019-11-09,19
Shopping Ibirapuera,2019-04-06,19
Shopping Ibirapuera,2019-06-20,19
Shopping Ibirapuera,2019-06-23,19
Shopping Ibirapuera,2019-07-09,19
Shopping Eldorado,2019-10-10,19
Shopping Eldorado,2019-11-01,19
Shopping Center Interlagos,2019-09-07,19
Shopping Center Leste Aricanduva,2019-01-09,19
Passei das Águas Shopping,2019-11-29,19
Parque Dom Pedro Shopping,2019-07-25,19
Shopping Center Leste Aricanduva,2019-07-29,19
Shopping Center Leste Aricanduva,2019-08-21,19
Shopping Eldorado,2019-11-09,19
Shopping Ibirapuera,2019-01-03,19
Shopping Ibirapuera,2019-01-25,19
Shopping Iguatemi Fortaleza,2019-08-17,19
Novo Shopping Ribeirão Preto,2019-11-24,19
Palladium Shopping Curitiba,2019-01-27,19
Palladium Shopping Curitiba,2019-02-25,19
Palladium Shopping Curitiba,2019-03-04,19
Bourbon Shopping SP,2019-08-27,19
Shopping Ibirapuera,2019-09-18,19
Shopping Iguatemi Fortaleza,2019-01-19,19
Shopping Iguatemi Fortaleza,2019-02-09,19
Shopping Iguatemi Fortaleza,2019-03-15,19
Palladium Shopping Curitiba,2019-05-12,19
Palladium Shopping Curitiba,2019-11-02,19
Shopping Iguatemi Fortaleza,2019-10-12,19
Shopping Iguatemi Fortaleza,2019-10-16,19
Shopping Iguatemi Fortaleza,2019-10-27,19
Shopping Midway Mall,2019-01-25,19
Shopping Midway Mall,2019-04-13,19
Shopping Midway Mall,2019-06-03,19
Shopping Iguatemi Fortaleza,2019-03-24,19
Shopping Barra,2019-09-30,19
Shopping Barra,2019-10-13,19
Shopping Center Interlagos,2019-01-15,19
Ribeirão Shopping,2019-03-11,19
Ribeirão Shopping,2019-03-30,19
Shopping Center Leste Aricanduva,2019-03-06,19
Shopping Center Interlagos,2019-06-21,19
Bourbon Shopping SP,2019-11-22,19
Shopping Iguatemi Fortaleza,2019-05-04,19
Shopping Iguatemi Fortaleza,2019-05-09,19
Shopping Iguatemi Fortaleza,2019-06-13,19
Shopping Iguatemi Fortaleza,2019-07-04,19
Shopping Midway Mall,2019-06-28,19
Shopping Midway Mall,2019-08-22,19
Shopping Morumbi,2019-01-05,19
Ribeirão Shopping,2019-08-28,19
Ribeirão Shopping,2019-09-14,19
Rio Mar Recife,2019-01-10,19
Ribeirão Shopping,2019-02-02,19
Center Shopping Uberlândia,2019-01-22,19
Shopping Center Interlagos,2019-05-15,19
Shopping Center Interlagos,2019-06-02,19
Center Shopping Uberlândia,2019-01-31,19
Shopping Barra,2019-09-09,19
Novo Shopping Ribeirão Preto,2019-07-06,19
Novo Shopping Ribeirão Preto,2019-07-23,19
Novo Shopping Ribeirão Preto,2019-10-04,19
Novo Shopping Ribeirão Preto,2019-10-11,19
Shopping Iguatemi Fortaleza,2019-08-31,19
Shopping Iguatemi Fortaleza,2019-09-14,19
Shopping Morumbi,2019-07-11,19
Shopping Morumbi,2019-09-08,19
Shopping Morumbi,2019-11-20,19
Shopping Recife,2019-01-31,19
Shopping Barra,2019-01-11,19
Rio Mar Recife,2019-04-09,19
Rio Mar Recife,2019-04-17,19
Rio Mar Recife,2019-05-13,19
Rio Mar Recife,2019-05-16,19
Rio Mar Recife,2019-05-18,19
Ribeirão Shopping,2019-04-14,19
Ribeirão Shopping,2019-05-08,19
Ribeirão Shopping,2019-06-10,19
Ribeirão Shopping,2019-07-30,19
Novo Shopping Ribeirão Preto,2019-02-07,19
Novo Shopping Ribeirão Preto,2019-05-24,19
Novo Shopping Ribeirão Preto,2019-05-29,19
Shopping SP Market,2019-04-28,19
Shopping SP Market,2019-05-13,19
Shopping Recife,2019-02-05,19
Shopping Recife,2019-06-29,19
Shopping Recife,2019-07-17,19
Rio Mar Recife,2019-10-08,19
Rio Mar Recife,2019-10-17,19
Rio Mar Recife,2019-11-28,19
Rio Mar Shopping Fortaleza,2019-01-12,19
Center Shopping Uberlândia,2019-04-13,19
Salvador Shopping,2019-08-19,19
Salvador Shopping,2019-09-30,19
